,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,bsmt_height,exterior_quality,exterior_condition,bsmt_condition,bsmt_exposure,bsmt_finished1,bsmt_finished2,BsmtFinishedShare,heating_quality,kitchen_quality,home_funct,fireplace_quality,fireplace_ttlscore,gar_qual,gar_cond,gar_perception,driveway,fence,full_baths,half_baths,average_quality,room_size,age,garage_perception,LogSalePrice
0,1,60,RL,65,8450,Pave,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,VinylSd,VinylSd,BrkFace,196,PConc,706,0,150,856,Y,SBrkr,856,854,0,1710,2,1,3,1,8,2003,548,0,61,0,0,0,0,,0,2,2008,WD,Normal,208500,3,2,2,3,0,4,1,0.824766355,4,2,7,0,0,3,2,6,3,0,3,1,0.795136692,213.75,5,2.666666667,12.24769432
1,2,20,RL,80,9600,Pave,,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,Gable,MetalSd,MetalSd,None,0,CBlock,978,0,284,1262,Y,SBrkr,1262,0,0,1262,2,0,3,1,6,1976,460,298,0,0,0,0,0,,0,5,2007,WD,Normal,181500,3,1,2,3,3,3,1,0.77496038,4,1,7,2,2,3,2,6,3,0,2,1,-0.002500395,210.3333333,31,2.666666667,12.10901093
2,3,60,RL,68,11250,Pave,,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,Gable,VinylSd,VinylSd,BrkFace,162,PConc,486,0,434,920,Y,SBrkr,920,866,0,1786,2,1,3,1,6,2001,608,0,42,0,0,0,0,,0,9,2008,WD,Normal,223500,3,2,2,3,1,4,1,0.52826087,4,2,7,2,2,3,2,6,3,0,3,1,0.795136692,297.6666667,7,2.666666667,12.31716669
3,4,70,RL,60,9550,Pave,,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1970,Gable,Wd Sdng,Wd Shng,None,0,BrkTil,216,0,540,756,Y,SBrkr,961,756,0,1717,1,0,3,1,7,1998,642,0,35,272,0,0,0,,0,2,2006,WD,Abnorml,140000,2,1,2,4,0,3,1,0.285714286,3,2,7,3,3,3,2,6,3,0,2,0,-0.018740682,245.2857143,91,2.833333333,11.8493977
4,5,60,RL,84,14260,Pave,,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,Gable,VinylSd,VinylSd,BrkFace,350,PConc,655,0,490,1145,Y,SBrkr,1145,1053,0,2198,2,1,4,1,9,2000,836,192,84,0,0,0,0,,0,12,2008,WD,Normal,250000,3,2,2,3,2,4,1,0.572052402,4,2,7,2,2,3,2,6,3,0,3,1,0.940496465,244.2222222,8,3.333333333,12.4292162
5,6,50,RL,85,14115,Pave,,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1995,Gable,VinylSd,VinylSd,None,0,Wood,732,0,64,796,Y,SBrkr,796,566,0,1362,1,1,1,1,5,1993,480,40,30,0,320,0,0,,700,10,2009,WD,Normal,143000,3,1,2,3,0,4,1,0.91959799,4,1,7,0,0,3,2,6,3,0.5,2,1,-0.147860167,272.4,16,2.333333333,11.87059991
6,7,20,RL,75,10084,Pave,,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,Gable,VinylSd,VinylSd,Stone,186,PConc,1369,0,317,1686,Y,SBrkr,1694,0,0,1694,2,0,3,1,7,2004,636,255,57,0,0,0,0,,0,8,2007,WD,Normal,307000,4,2,2,3,2,4,1,0.81198102,4,2,7,3,3,3,2,6,3,0,3,0,1.19586803,242,3,2.666666667,12.63460303
7,8,60,RL,69.79,10382,Pave,,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,Gable,HdBoard,HdBoard,Stone,240,CBlock,859,32,216,1107,Y,SBrkr,1107,983,0,2090,2,1,3,1,7,1973,484,235,204,228,0,0,0,,350,11,2009,WD,Normal,200000,3,1,2,3,1,3,2,0.804878049,4,1,7,2,4,3,2,6,3,0,3,1,0.142859378,298.5714286,36,2.666666667,12.20607265
8,9,50,RM,51,6120,Pave,,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1950,Gable,BrkFace,Wd Shng,None,0,BrkTil,0,0,952,952,Y,FuseF,1022,752,0,1774,2,0,2,2,8,1931,468,90,0,205,0,0,0,,0,4,2008,WD,Abnorml,129900,2,1,2,3,0,1,1,0,3,1,5.5,2,4,2,2,4,3,0,2,0,-0.320996055,221.75,77,2.166666667,11.7745202
9,10,190,RL,50,7420,Pave,,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1950,Gable,MetalSd,MetalSd,None,0,BrkTil,851,0,140,991,Y,SBrkr,1077,0,0,1077,1,0,2,2,5,1939,205,0,4,0,0,0,0,,0,1,2008,WD,Normal,118000,2,1,2,3,0,4,1,0.858728557,4,1,7,2,4,3.5,2,7,3,0,2,0,-0.403231732,215.4,69,2,11.6784399
